алфавит;!!а!!лф!!а!!ви́т;оо
апрель;!!а!!пре́л!!ь!!;о
берёза;__б__!!е!!рёза;пи
быстро;бы́стр!!о!!;аи
вдруг;__вд__ру!!г!!;фтк
весело;ве́с!!е!!л!!о!!;иа
ветер;ве́т!!е!!р;и
воробей;в!!о!!__р__!!о!!бе́й;аа
город;го́р!!о!!д;а
девочка;де́в!!о!!__чк__а;а
дежурный;д!!е!!жу́рный;и
декабрь;д!!е!!ка́бр__ь__;и
деревня;д!!е!!ре́вня;и
дорога;д!!о!!__ро́__га;а
жёлтый;ж!!ё!!лтый;о
завод;з!!а!!во́д;о
заяц;за́!!я!!ц;ай
здравствуй;__з__дра́__вст__вуй;сфс
здравствуйте;__з__дра́__вст__вуйте;сфс
земляника;з!!е!!мл!!я!!ни́ка;иа
извините;изв!!и!!ни́те;ывеи
иней;ин!!е!!й;иэ
капуста;к!!а!!пу́ста;оз
карандаш;к!!а!!р!!а!!нда́ш;оощ
картина;к!!а!!рти́на;о
класс;кла!!сс!!;зз
коньки;к!!о!!н!!ь!!ки́;аг
корова;к!!о!!__ро́__ва;аа
лисица;л!!и!!си́ца;е
лопата;л!!о!!па́та;а
лягушка;л!!я!!гу́шка;аиж
магазин;м!!а!!г!!а!!зи́н;оо
малина;м!!а!!ли́на;о
машина;м!!а!!ш!!и!!́на;оыж
мебель;ме́б!!е!!л!!ь!!;и
медведь;м!!е!!две́д!!ь!!;ит
месяц;ме́с!!я!!ц;а
метель;м!!е!!те́л!!ь!!;и
метро;м!!е!!тро́;и
молоко;м!!о!!л!!о!!ко́;аа
молоток;м!!о!!л!!о!!то́к;аа
морковь;м!!о!!рко́в!!ь!!;аф
мороз;м!!о!!__ро́__з;ас
Москва;__М__!!о!!сква́;а
народ;н!!а!!ро́д;о
ноябрь;н!!о!!я́бр!!ь!!;а
обед;!!о!!бе́__д__;ат
обезьяна;!!о!!б!!е!!з!!ь!!я́на;аисй
облако;обл!!а!!к!!о!!;оаг
одежда;!!о!!де́жда;аш
октябрь;!!о!!ктя́бр!!ь!!;ап
осина;!!о!!си́на;а
отец;!!о!!те́ц;а
пальто;п!!а!!л!!ь!!то́;о
пенал;п!!е!!на́л;и
платок;пл!!а!!то́к;о
посуда;п!!о!!су́да;а
прощай;пр!!о!!щай;а
работа;р!!а!!бо́та;о
рабочий;р!!а!!бо́ч!!и!!й;оы
ребята;р!!е!!бя́та;и
рисунок;р!!и!!су́н!!о!!к;ыае
Родина;Ро́д!!и!!на;ы
Россия;__Р__!!о!!__сс__и́я;а
русский;ру́__сс__кий;зз
сапоги;с!!а!!п!!о!!ги́;оак
сахар;са́х!!а!!р;о
сентябрь;с!!е!!нтя́бр!!ь!!;и
скоро;ско́р!!о!!;а
снегирь;сн!!е!!ги́р!!ь!!;и
сорока;с!!о!!ро́ка;а
спасибо;сп!!а!!си́б!!о!!;оа
стакан;ст!!а!!ка́н;о
суббота;су!!бб!!о́та;пп
тарелка;т!!а!!ре́лка;о
тетрадь;т!!е!!тра́д!!ь!!;ит
товарищ;т!!о!!ва́рищ;а
топор;т!!о!!по́р;а
улица;ул!!и!!ца;ые
урожай;ур!!о!!жа́й;а
ученик;уч!!е!!ни́к;и
ученица;уч!!е!!ни́ца;и
учитель;учи́т!!е!!л!!ь!!;и
учительница;учи́т!!е!!л!!ь!!ницаа;и
фамилия;ф!!а!!ми́лия;о
февраль;ф!!е!!вра́л!!ь!!;и
хорошо;х!!о!!__р__!!о!!шо́;аа
шёл;ш!!ё!!л;о
щавель;щ!!а!!ве́л!!ь!!;ошисч
яблоко;ябл!!о!!к!!о!!;аа
яблоня;ябл!!о!!ня;а
ягода;яг!!о!!да́;а
язык;!!я!!зы́к;айи
январь;!!я!!нва́р!!ь!!;аи
багаж;б!!а!!га__ж__;ош
вагон;в!!а!!гон;о
варежки;вар!!е!!__ж__ки;иш
воротник;в!!о!!р!!о!!тник;аа
группа;гру__пп__а;бо
диван;д!!и!!ван;еф
директор;д!!и!!ректор;ем
квитанция;кв!!и!!танция;ес
корзина;к!!о!!рзина;ас
пассажир;п!!а!!__сс__ажир;ош
пассажирский;п!!а!!__сс__ажирский;ощз
перрон;п!!е!!__рр__он;и
петух;п!!е!!тух;и
пожалуйста;п!!о!!жалуйста;а
помощь;пом!!о!!щь;ша
путешественник;пут!!е!!шестве__нн__ик;иж
саквояж;с!!а!!квояж;оафш
суффикс;су__фф__икс;ве
участвовать;участвовать;фоае
чемодан;ч!!е!!модан;и
чувствовать;чувствовать;фае
